Country,Period,Gender,Happiness_Rank,Happiness_Score,Economy_GDP_per_Capita,Family,Healthy_Life_Expectancy,Trust_Government_Corruption,Generosity,Region,adolBirthRate,alcoholPerCapita,popUsingSanitationPct,suicidePer100K,lifeExpectancy,infantMortalityPer1000,lifeExpectancyAtBirth,medicalDoctorsPer10000,tobaccoSmokingAbove15,iso_code,year,coal_prod_per_capita,energy_per_capita,fossil_energy_per_capita,gas_energy_per_capita,hydro_energy_per_capita,low_carbon_energy_per_capita,nuclear_energy_per_capita,oil_energy_per_capita,renewables_energy_per_capita,solar_energy_per_capita
Israel,2019,Total,13,7.139,1.276,,1.029,0.082,0.261,,,,,,72.38,2.97,82.62,,,ISR,2019,,36717.179,35864.075,12644.54,6.722,845.189,0,16390.959,845.189,790.455
Israel,2020,Total,14,7.128600121,10.41752529,,73.20025635,0.78085506,0.10259372,,,,,,,,,,,,,,,,,,,,,,
Israel,2021,Total,12,7.157,10.575,,73.503,0.753,0.031,,,,,,,,,,,,,,,,,,,,,,
Italy,2015,Total,50,5.948,1.25114,1.19777,0.95446,0.02901,0.22823,Western Europe,5.1,7.59,98.77,8,71.56,2.95,82.21,38.48,23.8,ITA,2015,,29203.355,24459.431,10616.968,1841.857,4743.923,0,11475.34,4743.923,958.076
Italy,2016,Total,50,5.977,1.35495,1.04167,0.85102,0.02556,0.16684,Western Europe,4.8,,98.77,0,,2.88,,39.5,23.6,ITA,2016,,29445.833,24789.271,11134.611,1683.362,4656.562,0,11549.053,4656.562,916.337
Italy,2017,Total,48,5.964000225,1.395066619,1.444923282,0.853144348,0.028028091,0.172789648,,4.4,,98.77,,,2.82,,39.81,23.5,ITA,2017,,29730.62,25267.323,11797.286,1416.289,4463.296,0,11625.689,4463.296,1004.455
Italy,2018,Total,47,6,1.264,,0.946,0.028,0.137,,,7.84,,,,2.75,,39.77,23.4,ITA,2018,,29915.232,25031.384,11416.388,1929.62,4883.847,0,11922.561,4883.847,928.684
Italy,2019,Total,36,6.223,1.294,,1.039,0.03,0.158,,,,,,71.92,2.68,82.97,,,ITA,2019,,29239.012,24476.028,11691.275,1846.017,4762.984,0,11417.887,4762.984,994.822
Italy,2020,Total,30,6.38740015,10.48183632,,73.60168457,0.873404682,-0.043460999,,,,,,,,,,,ITA,2020,,,,,,,,,,
Italy,2021,Total,28,6.483,10.623,,73.8,0.866,-0.084,,,,,,,,,,,,,,,,,,,,,,
Ivory Coast,2015,Total,151,3.655,0.46534,0.77115,0.15185,0.17922,0.20165,Sub-Saharan Africa,,,,,,,,,,,,,,,,,,,,,
Ivory Coast,2016,Total,139,3.916,0.55507,0.57576,0.04476,0.1553,0.20338,Sub-Saharan Africa,,,,,,,,,,,,,,,,,,,,,
Ivory Coast,2017,Total,128,4.179999828,0.603048921,0.90478003,0.04864217,0.130061775,0.20123747,,,,,,,,,,,,,,,,,,,,,,
Ivory Coast,2018,Total,107,4.671,0.541,,0.08,0.103,0.146,,,,,,,,,,,,,,,,,,,,,,
Ivory Coast,2019,Total,99,4.944,0.569,,0.232,0.09,0.154,,,,,,,,,,,,,,,,,,,,,,
Ivory Coast,2020,Total,85,5.233300209,8.225561142,,49.50377274,0.790771961,-0.043991156,,,,,,,,,,,,,,,,,,,,,,
Ivory Coast,2021,Total,85,5.306,8.551,,50.114,0.794,-0.016,,,,,,,,,,,,,,,,,,,,,,
Jamaica,2015,Total,65,5.709,0.81038,1.15102,0.68741,0.02299,0.2123,Latin America and Caribbean,54.7,4.19,86.95,2.1,66.59,13.43,75.85,4.15,12,JAM,2015,0,12569.497,,,,,,,,
Jamaica,2016,Total,73,5.51,0.89333,0.96372,0.59469,0.04294,0.22245,Latin America and Caribbean,55.3,,87.32,0,,13.07,,4.55,11.6,JAM,2016,0,12888.467,,,,,,,,
Jamaica,2017,Total,76,5.31099987,0.925579309,1.368218064,0.641022384,0.055267781,0.233818337,,51.7,,87.31,,,12.68,,13.06,11.3,JAM,2017,,,,,,,,,,
Jamaica,2018,Total,56,5.89,0.819,,0.693,0.031,0.096,,,4.22,,,,12.3,,,11,JAM,2018,,,,,,,,,,
Jamaica,2019,Total,56,5.89,0.831,,0.831,0.028,0.107,,,,,,66.55,11.93,75.98,,,JAM,2019,,,,,,,,,,
Jamaica,2020,Total,60,5.889800072,9.006250381,,67.09999847,0.888890028,-0.125106767,,,,,,,,,,,,,,,,,,,,,,
Jamaica,2021,Total,37,6.309,9.186,,67.5,0.884,-0.137,,,,,,,,,,,,,,,,,,,,,,
